path	bytes	subsystem	artifact_kind	responsibility	key_symbols_or_surface	expected_depth	actual_depth	status	inspector	evidence_refs	issue_ids	limitations_or_exclusion_reason
.ca-patch\avg-root-ca.crt	1413	repository-root	binary-asset	repository asset	avg-root-ca	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
.ca-patch\Dockerfile.maven	569	repository-root	source-or-artifact	repository asset	Dockerfile	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
.ca-patch\Dockerfile.node	401	repository-root	source-or-artifact	repository asset	Dockerfile	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
.claude\settings.json	11028	repository-root	configuration	build/runtime/deployment configuration	settings	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
.claude\settings.local.json	30541	repository-root	configuration	build/runtime/deployment configuration	settings.local	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
.env	1458	repository-root	source-or-artifact	repository asset		C	C	census	Codex census	final-file-coverage census		SENSITIVE - names/patterns only; values redacted
.env.bak-crlf	1070	repository-root	source-or-artifact	repository asset	.env	C	C	census	Codex census	final-file-coverage census		SENSITIVE - names/patterns only; values redacted
.env.example	5026	repository-root	source-or-artifact	repository asset	.env	C	C	census	Codex census	final-file-coverage census		SENSITIVE - names/patterns only; values redacted
.github\dependabot.yml	3691	repository-root	configuration	build/runtime/deployment configuration	dependabot	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
.gitignore	970	repository-root	source-or-artifact	repository asset		C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
.mvn\jvm.config	79	repository-root	source-or-artifact	repository asset	jvm	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
.vscode\settings.json	178	repository-root	configuration	build/runtime/deployment configuration	settings	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
.vscode\tasks.json	224	repository-root	configuration	build/runtime/deployment configuration	tasks	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
_audit_booking_notnull.txt	21366	repository-root	source-or-artifact	repository asset	_audit_booking_notnull	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
_write-admin.cjs	347	repository-root	script	automation/operations	_write-admin	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
admin_token.txt	451	repository-root	source-or-artifact	repository asset	admin_token	C	C	census	Codex census	final-file-coverage census		SENSITIVE - names/patterns only; values redacted
ARCHITECTURE.md	3044	repository-root	documentation	developer/operator reference	ARCHITECTURE	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
avg-root-ca.crt	1413	repository-root	binary-asset	repository asset	avg-root-ca	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\.dockerignore	154	backend/.dockerignore	source-or-artifact	repository asset		C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\.dockerignore	258	backend/api-gateway	source-or-artifact	repository asset		C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\Dockerfile	1070	backend/api-gateway	source-or-artifact	repository asset	Dockerfile	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\hs_err_pid15468.log	18443	backend/api-gateway	source-or-artifact	repository asset	hs_err_pid15468	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\pom.xml	3439	backend/api-gateway	source-or-artifact	repository asset	pom	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\src\main\java\com\skbingegalaxy\gateway\ApiGatewayApplication.java	445	backend/api-gateway	source-or-artifact	repository asset	ApiGatewayApplication	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\src\main\java\com\skbingegalaxy\gateway\config\GatewayConfig.java	1674	backend/api-gateway	backend-integration	external/event/configuration integration	GatewayConfig	B	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\api-gateway\src\main\java\com\skbingegalaxy\gateway\controller\CsrfTokenController.java	1908	backend/api-gateway	backend-controller	HTTP contract and authorization entry point	CsrfTokenController	B	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		SENSITIVE - names/patterns only; values redacted
backend\api-gateway\src\main\java\com\skbingegalaxy\gateway\controller\FallbackController.java	872	backend/api-gateway	backend-controller	HTTP contract and authorization entry point	FallbackController	B	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\api-gateway\src\main\java\com\skbingegalaxy\gateway\filter\ApiVersionHeaderFilter.java	1965	backend/api-gateway	source-or-artifact	repository asset	ApiVersionHeaderFilter	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\src\main\java\com\skbingegalaxy\gateway\filter\CsrfProtectionFilter.java	12409	backend/api-gateway	source-or-artifact	repository asset	CsrfProtectionFilter	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\src\main\java\com\skbingegalaxy\gateway\filter\JwtAuthenticationFilter.java	25717	backend/api-gateway	source-or-artifact	repository asset	JwtAuthenticationFilter	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\src\main\java\com\skbingegalaxy\gateway\filter\MdcContextFilter.java	3937	backend/api-gateway	source-or-artifact	repository asset	MdcContextFilter	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\src\main\java\com\skbingegalaxy\gateway\filter\RateLimitFilter.java	15096	backend/api-gateway	source-or-artifact	repository asset	RateLimitFilter	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\src\main\java\com\skbingegalaxy\gateway\filter\SecurityHeadersFilter.java	4269	backend/api-gateway	backend-integration	external/event/configuration integration	SecurityHeadersFilter	B	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\api-gateway\src\main\java\com\skbingegalaxy\gateway\filter\UserRateLimitFilter.java	14687	backend/api-gateway	source-or-artifact	repository asset	UserRateLimitFilter	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\src\main\resources\application.yml	823	backend/api-gateway	configuration	build/runtime/deployment configuration	application	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\api-gateway\src\main\resources\application-kubernetes.yml	406	backend/api-gateway	configuration	build/runtime/deployment configuration	application-kubernetes	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\api-gateway\src\main\resources\logback-spring.xml	2347	backend/api-gateway	source-or-artifact	repository asset	logback-spring	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\api-gateway\src\test\java\com\skbingegalaxy\gateway\controller\FallbackControllerTest.java	962	backend/api-gateway	backend-test	backend regression evidence	FallbackControllerTest	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\api-gateway\src\test\java\com\skbingegalaxy\gateway\filter\ApiVersionHeaderFilterTest.java	1793	backend/api-gateway	backend-test	backend regression evidence	ApiVersionHeaderFilterTest	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\api-gateway\src\test\java\com\skbingegalaxy\gateway\filter\CsrfProtectionFilterTest.java	5552	backend/api-gateway	backend-test	backend regression evidence	CsrfProtectionFilterTest	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\api-gateway\src\test\java\com\skbingegalaxy\gateway\filter\JwtAuthenticationFilterTest.java	22487	backend/api-gateway	backend-test	backend regression evidence	JwtAuthenticationFilterTest	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\api-gateway\src\test\java\com\skbingegalaxy\gateway\filter\RateLimitFilterTest.java	11506	backend/api-gateway	backend-test	backend regression evidence	RateLimitFilterTest	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\api-gateway\src\test\java\com\skbingegalaxy\gateway\filter\SecurityHeadersFilterTest.java	3149	backend/api-gateway	backend-test	backend regression evidence	SecurityHeadersFilterTest	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\api-gateway\src\test\java\com\skbingegalaxy\gateway\filter\UserRateLimitFilterTest.java	5575	backend/api-gateway	backend-test	backend regression evidence	UserRateLimitFilterTest	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\.dockerignore	258	backend/auth-service	source-or-artifact	repository asset		C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\auth-service\Dockerfile	1072	backend/auth-service	source-or-artifact	repository asset	Dockerfile	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\auth-service\package.json	106	backend/auth-service	configuration	build/runtime/deployment configuration	package	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\package-lock.json	5628	backend/auth-service	configuration	build/runtime/deployment configuration	package-lock	B	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\pom.xml	5028	backend/auth-service	source-or-artifact	repository asset	pom	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\auth-service\src\main\java\com\skbingegalaxy\auth\AuthServiceApplication.java	629	backend/auth-service	backend-service	domain/application transaction logic	AuthServiceApplication	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\client\BookingModulePermissionClient.java	4099	backend/auth-service	backend-integration	external/event/configuration integration	BookingModulePermissionClient	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\config\AdminSeeder.java	4137	backend/auth-service	backend-integration	external/event/configuration integration	AdminSeeder	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\config\GoogleAuthConfig.java	1923	backend/auth-service	backend-integration	external/event/configuration integration	GoogleAuthConfig	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\config\OpenApiConfig.java	725	backend/auth-service	backend-integration	external/event/configuration integration	OpenApiConfig	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\config\ShedLockConfig.java	851	backend/auth-service	backend-integration	external/event/configuration integration	ShedLockConfig	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\config\StartupWarmupRunner.java	2582	backend/auth-service	backend-integration	external/event/configuration integration	StartupWarmupRunner	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\controller\AuthController.java	33623	backend/auth-service	backend-controller	HTTP contract and authorization entry point	AuthController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\controller\AuthorityController.java	11002	backend/auth-service	backend-controller	HTTP contract and authorization entry point	AuthorityController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\controller\InternalUserController.java	2246	backend/auth-service	backend-controller	HTTP contract and authorization entry point	InternalUserController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\controller\SiteContentController.java	3004	backend/auth-service	backend-controller	HTTP contract and authorization entry point	SiteContentController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\controller\UserPrivacyController.java	2003	backend/auth-service	backend-controller	HTTP contract and authorization entry point	UserPrivacyController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\AddressPayload.java	1419	backend/auth-service	backend-dto	request/response/event shape	AddressPayload	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\AdminContactDto.java	1211	backend/auth-service	backend-dto	request/response/event shape	AdminContactDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
