method	path	clients	sources
DELETE	/api/v1/auth/admin/sessions/{}	api	frontend\src\services\endpoints.js:82
DELETE	/api/v1/auth/admin/user/{}	api	frontend\src\services\endpoints.js:61
DELETE	/api/v1/auth/admin/users/{}/sessions	api	frontend\src\services\endpoints.js:83
DELETE	/api/v1/auth/authority/grants/{}	api	frontend\src\services\endpoints.js:108
DELETE	/api/v1/auth/authority/locks/{}	api	frontend\src\services\endpoints.js:113
DELETE	/api/v1/auth/privacy/me	api	frontend\src\services\endpoints.js:75
DELETE	/api/v1/auth/sessions/{}	api	frontend\src\services\endpoints.js:78
DELETE	/api/v1/availability/admin/blocked-dates/{}	api	frontend\src\services\endpoints.js:351
DELETE	/api/v1/availability/admin/blocked-slots/{}	api	frontend\src\services\endpoints.js:352
DELETE	/api/v1/availability/admin/unblock-date	api	frontend\src\services\endpoints.js:347
DELETE	/api/v1/availability/admin/unblock-slot	api	frontend\src\services\endpoints.js:349
DELETE	/api/v1/bookings/admin/addon-categories/{}	api	frontend\src\services\endpoints.js:392
DELETE	/api/v1/bookings/admin/addon-categories/global/{}	api	frontend\src\services\endpoints.js:398
DELETE	/api/v1/bookings/admin/add-ons/{}	api	frontend\src\services\endpoints.js:374
DELETE	/api/v1/bookings/admin/binges/{}	api	frontend\src\services\endpoints.js:523
DELETE	/api/v1/bookings/admin/currencies/{}	api	frontend\src\services\endpoints.js:228
DELETE	/api/v1/bookings/admin/event-categories/{}	api	frontend\src\services\endpoints.js:380
DELETE	/api/v1/bookings/admin/event-categories/global/{}	api	frontend\src\services\endpoints.js:386
DELETE	/api/v1/bookings/admin/event-types/{}	api	frontend\src\services\endpoints.js:368
DELETE	/api/v1/bookings/admin/freezes/{}	api	frontend\src\services\endpoints.js:578
DELETE	/api/v1/bookings/admin/notifications/{}	api	frontend\src\services\endpoints.js:566
DELETE	/api/v1/bookings/admin/pricing/customer/{}	api	frontend\src\services\endpoints.js:485
DELETE	/api/v1/bookings/admin/pricing/rate-codes/{}	api	frontend\src\services\endpoints.js:481
DELETE	/api/v1/bookings/admin/pricing/surge-rules/{}	api	frontend\src\services\endpoints.js:618
DELETE	/api/v1/bookings/admin/support/notes/{}	api	frontend\src\services\endpoints.js:637
DELETE	/api/v1/bookings/admin/taxes/{}	api	frontend\src\services\endpoints.js:212
DELETE	/api/v1/bookings/admin/venue-rooms/{}	api	frontend\src\services\endpoints.js:603
DELETE	/api/v1/bookings/admin/venue-rooms/blocks/{}	api	frontend\src\services\endpoints.js:612
DELETE	/api/v1/bookings/notifications/{}	api	frontend\src\services\endpoints.js:297
DELETE	/api/v1/bookings/slot-holds/{}	api	frontend\src\services\endpoints.js:198
DELETE	/api/v1/bookings/slot-holds/admin/{}	api	frontend\src\services\endpoints.js:203
DELETE	/api/v1/bookings/waitlist/{}	api	frontend\src\services\endpoints.js:153
