module	groupId	artifactId	version
backend	org.projectlombok	lombok	${lombok.version}
backend	io.micrometer	micrometer-tracing-bridge-brave	managed
backend	io.zipkin.reporter2	zipkin-reporter-brave	managed
backend	net.logstash.logback	logstash-logback-encoder	8.0
backend	org.springframework.boot	spring-boot-starter-test	managed
api-gateway	com.skbingegalaxy	common-lib	managed
api-gateway	org.springframework.cloud	spring-cloud-starter-gateway	managed
api-gateway	org.springframework.cloud	spring-cloud-starter-netflix-eureka-client	managed
api-gateway	org.springframework.cloud	spring-cloud-starter-loadbalancer	managed
api-gateway	org.springframework.cloud	spring-cloud-starter-circuitbreaker-reactor-resilience4j	managed
api-gateway	org.springframework.cloud	spring-cloud-starter-config	managed
api-gateway	org.springframework.boot	spring-boot-starter-actuator	managed
api-gateway	org.springframework.boot	spring-boot-starter-data-redis-reactive	managed
api-gateway	io.micrometer	micrometer-registry-prometheus	managed
api-gateway	io.jsonwebtoken	jjwt-api	${jjwt.version}
api-gateway	io.jsonwebtoken	jjwt-impl	${jjwt.version}
api-gateway	io.jsonwebtoken	jjwt-jackson	${jjwt.version}
api-gateway	com.bucket4j	bucket4j-core	8.10.1
api-gateway	org.springdoc	springdoc-openapi-starter-webflux-ui	managed
auth-service	com.skbingegalaxy	common-lib	managed
auth-service	org.springframework.boot	spring-boot-starter-web	managed
auth-service	org.springframework.boot	spring-boot-starter-data-jpa	managed
auth-service	org.flywaydb	flyway-core	managed
auth-service	org.flywaydb	flyway-database-postgresql	managed
auth-service	org.springframework.boot	spring-boot-starter-security	managed
auth-service	org.springframework.boot	spring-boot-starter-validation	managed
auth-service	org.springframework.boot	spring-boot-starter-actuator	managed
auth-service	org.springframework.boot	spring-boot-starter-data-redis	managed
auth-service	io.micrometer	micrometer-registry-prometheus	managed
auth-service	org.springframework.cloud	spring-cloud-starter-netflix-eureka-client	managed
auth-service	org.springframework.cloud	spring-cloud-starter-config	managed
auth-service	org.springframework.kafka	spring-kafka	managed
auth-service	org.postgresql	postgresql	managed
auth-service	io.jsonwebtoken	jjwt-api	${jjwt.version}
auth-service	io.jsonwebtoken	jjwt-impl	${jjwt.version}
auth-service	io.jsonwebtoken	jjwt-jackson	${jjwt.version}
auth-service	org.springdoc	springdoc-openapi-starter-webmvc-ui	managed
auth-service	com.google.api-client	google-api-client	2.7.2
auth-service	net.javacrumbs.shedlock	shedlock-spring	6.2.0
auth-service	net.javacrumbs.shedlock	shedlock-provider-jdbc-template	6.2.0
availability-service	com.skbingegalaxy	common-lib	managed
availability-service	org.springframework.boot	spring-boot-starter-web	managed
availability-service	org.springframework.boot	spring-boot-starter-data-jpa	managed
availability-service	org.flywaydb	flyway-core	managed
availability-service	org.flywaydb	flyway-database-postgresql	managed
availability-service	org.springframework.boot	spring-boot-starter-validation	managed
availability-service	org.springframework.boot	spring-boot-starter-security	managed
availability-service	org.springframework.boot	spring-boot-starter-actuator	managed
availability-service	io.micrometer	micrometer-registry-prometheus	managed
availability-service	org.springframework.cloud	spring-cloud-starter-netflix-eureka-client	managed
availability-service	org.springframework.cloud	spring-cloud-starter-config	managed
availability-service	org.springframework.cloud	spring-cloud-starter-openfeign	managed
availability-service	org.springframework.cloud	spring-cloud-starter-circuitbreaker-resilience4j	managed
availability-service	org.springframework.kafka	spring-kafka	managed
availability-service	org.postgresql	postgresql	managed
availability-service	org.springdoc	springdoc-openapi-starter-webmvc-ui	managed
booking-service	com.skbingegalaxy	common-lib	managed
booking-service	org.springframework.boot	spring-boot-starter-web	managed
booking-service	org.springframework.boot	spring-boot-starter-data-jpa	managed
booking-service	org.flywaydb	flyway-core	managed
booking-service	org.flywaydb	flyway-database-postgresql	managed
booking-service	org.springframework.boot	spring-boot-starter-validation	managed
booking-service	org.springframework.boot	spring-boot-starter-security	managed
booking-service	org.springframework.boot	spring-boot-starter-actuator	managed
booking-service	io.micrometer	micrometer-registry-prometheus	managed
booking-service	net.javacrumbs.shedlock	shedlock-spring	6.2.0
booking-service	net.javacrumbs.shedlock	shedlock-provider-jdbc-template	6.2.0
booking-service	org.springframework.cloud	spring-cloud-starter-netflix-eureka-client	managed
booking-service	org.springframework.cloud	spring-cloud-starter-config	managed
booking-service	org.springframework.cloud	spring-cloud-starter-openfeign	managed
booking-service	org.springframework.cloud	spring-cloud-starter-circuitbreaker-resilience4j	managed
booking-service	org.springframework.kafka	spring-kafka	managed
booking-service	org.postgresql	postgresql	managed
booking-service	org.springdoc	springdoc-openapi-starter-webmvc-ui	managed
booking-service	com.github.librepdf	openpdf	2.0.3
booking-service	com.h2database	h2	managed
booking-service	org.springframework.boot	spring-boot-starter-cache	managed
booking-service	com.github.ben-manes.caffeine	caffeine	managed
common-lib	org.springframework	spring-web	managed
common-lib	org.springframework	spring-webmvc	managed
common-lib	org.springframework	spring-tx	managed
common-lib	com.fasterxml.jackson.core	jackson-annotations	managed
common-lib	com.fasterxml.jackson.core	jackson-databind	managed
common-lib	jakarta.validation	jakarta.validation-api	managed
common-lib	org.springframework.security	spring-security-core	managed
common-lib	jakarta.servlet	jakarta.servlet-api	managed
common-lib	org.springframework.kafka	spring-kafka	managed
common-lib	org.springframework.boot	spring-boot	managed
common-lib	ch.qos.logback	logback-classic	managed
common-lib	net.logstash.logback	logstash-logback-encoder	8.0
common-lib	org.junit.jupiter	junit-jupiter	managed
common-lib	org.mockito	mockito-core	managed
common-lib	org.assertj	assertj-core	managed
common-lib	org.springframework	spring-test	managed
config-server	com.skbingegalaxy	common-lib	managed
config-server	org.springframework.cloud	spring-cloud-config-server	managed
config-server	org.springframework.cloud	spring-cloud-starter-netflix-eureka-client	managed
config-server	org.springframework.boot	spring-boot-starter-actuator	managed
config-server	org.springframework.boot	spring-boot-starter-security	managed
discovery-server	com.skbingegalaxy	common-lib	managed
discovery-server	org.springframework.cloud	spring-cloud-starter-netflix-eureka-server	managed
discovery-server	org.springframework.boot	spring-boot-starter-actuator	managed
discovery-server	org.springframework.boot	spring-boot-starter-security	managed
notification-service	com.skbingegalaxy	common-lib	${project.version}
notification-service	org.springframework.boot	spring-boot-starter-web	managed
notification-service	org.springframework.boot	spring-boot-starter-data-mongodb	managed
notification-service	org.springframework.boot	spring-boot-starter-mail	managed
notification-service	org.springframework.boot	spring-boot-starter-thymeleaf	managed
notification-service	org.springframework.boot	spring-boot-starter-validation	managed
notification-service	org.springframework.boot	spring-boot-starter-security	managed
notification-service	org.springframework.boot	spring-boot-starter-actuator	managed
notification-service	io.micrometer	micrometer-registry-prometheus	managed
notification-service	org.springframework.cloud	spring-cloud-starter-netflix-eureka-client	managed
notification-service	org.springframework.cloud	spring-cloud-starter-config	managed
notification-service	org.springframework.cloud	spring-cloud-starter-circuitbreaker-resilience4j	managed
notification-service	org.springframework.kafka	spring-kafka	managed
notification-service	org.springdoc	springdoc-openapi-starter-webmvc-ui	managed
notification-service	com.twilio.sdk	twilio	10.6.3
notification-service	com.google.firebase	firebase-admin	9.4.2
notification-service	nl.martijndwars	web-push	5.1.1
notification-service	net.javacrumbs.shedlock	shedlock-spring	6.2.0
notification-service	net.javacrumbs.shedlock	shedlock-provider-mongo	6.2.0
payment-service	com.skbingegalaxy	common-lib	managed
payment-service	org.springframework.boot	spring-boot-starter-web	managed
payment-service	org.springframework.boot	spring-boot-starter-data-jpa	managed
payment-service	org.flywaydb	flyway-core	managed
payment-service	org.flywaydb	flyway-database-postgresql	managed
payment-service	org.springframework.boot	spring-boot-starter-validation	managed
payment-service	org.springframework.boot	spring-boot-starter-security	managed
payment-service	org.springframework.boot	spring-boot-starter-actuator	managed
payment-service	io.micrometer	micrometer-registry-prometheus	managed
payment-service	org.springframework.cloud	spring-cloud-starter-netflix-eureka-client	managed
payment-service	org.springframework.cloud	spring-cloud-starter-config	managed
payment-service	org.springframework.cloud	spring-cloud-starter-openfeign	managed
payment-service	org.springframework.cloud	spring-cloud-starter-circuitbreaker-resilience4j	managed
payment-service	org.springframework.kafka	spring-kafka	managed
payment-service	org.postgresql	postgresql	managed
payment-service	org.springdoc	springdoc-openapi-starter-webmvc-ui	managed
payment-service	net.javacrumbs.shedlock	shedlock-spring	6.2.0
payment-service	net.javacrumbs.shedlock	shedlock-provider-jdbc-template	6.2.0
