source	image	pinning
.ca-patch\Dockerfile.maven	maven:3.9-eclipse-temurin-17-alpine	tag-only
.ca-patch\Dockerfile.node	node:20-alpine	tag-only
backend\api-gateway\Dockerfile	maven:3.9-eclipse-temurin-17-alpine	tag-only
backend\api-gateway\Dockerfile	eclipse-temurin:17-jre-alpine	tag-only
backend\auth-service\Dockerfile	maven:3.9-eclipse-temurin-17-alpine	tag-only
backend\auth-service\Dockerfile	eclipse-temurin:17-jre-alpine	tag-only
backend\availability-service\Dockerfile	maven:3.9-eclipse-temurin-17-alpine	tag-only
backend\availability-service\Dockerfile	eclipse-temurin:17-jre-alpine	tag-only
backend\booking-service\Dockerfile	maven:3.9-eclipse-temurin-17-alpine	tag-only
backend\booking-service\Dockerfile	eclipse-temurin:17-jre-alpine	tag-only
backend\config-server\Dockerfile	maven:3.9-eclipse-temurin-17-alpine	tag-only
backend\config-server\Dockerfile	eclipse-temurin:17-jre-alpine	tag-only
backend\discovery-server\Dockerfile	maven:3.9-eclipse-temurin-17-alpine	tag-only
backend\discovery-server\Dockerfile	eclipse-temurin:17-jre-alpine	tag-only
backend\notification-service\Dockerfile	maven:3.9-eclipse-temurin-17-alpine	tag-only
backend\notification-service\Dockerfile	eclipse-temurin:17-jre-alpine	tag-only
backend\payment-service\Dockerfile	maven:3.9-eclipse-temurin-17-alpine	tag-only
backend\payment-service\Dockerfile	eclipse-temurin:17-jre-alpine	tag-only
frontend\Dockerfile	node:20-alpine	tag-only
frontend\Dockerfile	nginx:alpine	tag-only
docker-compose.yml	postgres:16-alpine	tag-only
docker-compose.yml	mongo:7	tag-only
docker-compose.yml	redis:7-alpine	tag-only
docker-compose.yml	confluentinc/cp-zookeeper:7.6.0	tag-only
docker-compose.yml	confluentinc/cp-kafka:7.6.0	tag-only
docker-compose.yml	confluentinc/cp-kafka:7.6.0	tag-only
docker-compose.yml	openzipkin/zipkin:3.5.1	tag-only
docker-compose.kraft.yml	alpine:3.19	tag-only
docker-compose.kraft.yml	confluentinc/cp-kafka:7.6.0	tag-only
