service	controller	annotation	path
api-gateway	CsrfTokenController	GET	/api/v1/csrf
auth-service	AuthController	POST	/api/v1/auth/google
auth-service	AuthController	POST	/api/v1/auth/register
auth-service	AuthController	POST	/api/v1/auth/login
auth-service	AuthController	POST	/api/v1/auth/admin/login
auth-service	AuthController	POST	/api/v1/auth/refresh
auth-service	AuthController	POST	/api/v1/auth/logout
auth-service	AuthController	POST	/api/v1/auth/forgot-password
auth-service	AuthController	POST	/api/v1/auth/reset-password
auth-service	AuthController	POST	/api/v1/auth/verify-otp
auth-service	AuthController	GET	/api/v1/auth/profile
auth-service	AuthController	PUT	/api/v1/auth/change-password
auth-service	AuthController	PUT	/api/v1/auth/profile
auth-service	AuthController	PUT	/api/v1/auth/change-email
auth-service	AuthController	POST	/api/v1/auth/change-email/request
auth-service	AuthController	POST	/api/v1/auth/change-email/confirm
auth-service	AuthController	PUT	/api/v1/auth/change-phone
auth-service	AuthController	PUT	/api/v1/auth/profile/preferences
auth-service	AuthController	GET	/api/v1/auth/support-contact
auth-service	AuthController	PUT	/api/v1/auth/complete-profile
auth-service	AuthController	GET	/api/v1/auth/admin/search-customers
auth-service	AuthController	GET	/api/v1/auth/admin/search-staff
auth-service	AuthController	GET	/api/v1/auth/admin/customers
auth-service	AuthController	GET	/api/v1/auth/admin/customer/{id}
auth-service	AuthController	PUT	/api/v1/auth/admin/customer/{id}
auth-service	AuthController	POST	/api/v1/auth/admin/create-customer
auth-service	AuthController	POST	/api/v1/auth/admin/customer/{id}/temp-password
auth-service	AuthController	POST	/api/v1/auth/admin/register
auth-service	AuthController	GET	/api/v1/auth/admin/admins
auth-service	AuthController	PUT	/api/v1/auth/admin/admins/{id}
auth-service	AuthController	DELETE	/api/v1/auth/admin/user/{id}
auth-service	AuthController	POST	/api/v1/auth/admin/bulk-ban
auth-service	AuthController	POST	/api/v1/auth/admin/bulk-unban
auth-service	AuthController	POST	/api/v1/auth/admin/bulk-delete
auth-service	AuthController	POST	/api/v1/auth/mfa/enroll
auth-service	AuthController	POST	/api/v1/auth/mfa/confirm
auth-service	AuthController	POST	/api/v1/auth/mfa/disable
auth-service	AuthController	POST	/api/v1/auth/verify-email
auth-service	AuthController	POST	/api/v1/auth/resend-verification
auth-service	AuthController	GET	/api/v1/auth/sessions
auth-service	AuthController	DELETE	/api/v1/auth/sessions/{id}
auth-service	AuthController	POST	/api/v1/auth/sessions/revoke-others
auth-service	AuthController	GET	/api/v1/auth/admin/sessions
auth-service	AuthController	DELETE	/api/v1/auth/admin/sessions/{id}
auth-service	AuthController	DELETE	/api/v1/auth/admin/users/{userId}/sessions
auth-service	AuthController	GET	/api/v1/auth/admin/audit-log
auth-service	AuthController	POST	/api/v1/auth/admin/admins/{id}/promote
auth-service	AuthController	POST	/api/v1/auth/admin/admins/{id}/demote
auth-service	AuthController	GET	/api/v1/auth/admin/super-admin/stats
auth-service	AuthorityController	GET	/api/v1/auth/authority/me
auth-service	AuthorityController	POST	/api/v1/auth/authority/grants
auth-service	AuthorityController	DELETE	/api/v1/auth/authority/grants/{id}
auth-service	AuthorityController	GET	/api/v1/auth/authority/grants
auth-service	AuthorityController	GET	/api/v1/auth/authority/grants/by-user/{userId}
auth-service	AuthorityController	POST	/api/v1/auth/authority/locks
auth-service	AuthorityController	DELETE	/api/v1/auth/authority/locks/{id}
auth-service	AuthorityController	GET	/api/v1/auth/authority/locks/lookup
auth-service	AuthorityController	GET	/api/v1/auth/authority/internal/locks/lookup
auth-service	AuthorityController	GET	/api/v1/auth/authority/locks
auth-service	InternalUserController	GET	/api/v1/auth/internal/users/{id}/contact
auth-service	SiteContentController	GET	/api/v1/site-content/public/{slug}
auth-service	SiteContentController	PUT	/api/v1/site-content/admin/{slug}
auth-service	UserPrivacyController	DELETE	/api/v1/auth/privacy/me
auth-service	UserPrivacyController	POST	/api/v1/auth/privacy/admin/anonymize/{userId}
availability-service	AvailabilityController	GET	/api/v1/availability/dates
availability-service	AvailabilityController	GET	/api/v1/availability/slots
availability-service	AvailabilityController	GET	/api/v1/availability/internal/check
availability-service	AvailabilityController	GET	/api/v1/availability/admin/blocked-dates
availability-service	AvailabilityController	GET	/api/v1/availability/admin/blocked-slots
availability-service	AvailabilityController	POST	/api/v1/availability/admin/block-date
availability-service	AvailabilityController	DELETE	/api/v1/availability/admin/unblock-date
availability-service	AvailabilityController	DELETE	/api/v1/availability/admin/blocked-dates/{id}
availability-service	AvailabilityController	DELETE	/api/v1/availability/admin/blocked-slots/{id}
availability-service	AvailabilityController	POST	/api/v1/availability/admin/block-slot
availability-service	AvailabilityController	DELETE	/api/v1/availability/admin/unblock-slot
