sourceFile	method	path
src\services\api.js	POST	/api/v1/auth/refresh
src\services\api.js	POST	/api/v1/auth/refresh
src\services\api.js	POST	/api/v1/auth/logout
src\services\api.js	POST	/api/v1/auth/logout
src\services\endpoints.js	POST	/auth/register
src\services\endpoints.js	POST	/auth/login
src\services\endpoints.js	POST	/auth/google
src\services\endpoints.js	POST	/auth/admin/login
src\services\endpoints.js	POST	/auth/admin/register
src\services\endpoints.js	GET	/auth/profile
src\services\endpoints.js	PUT	/auth/profile/preferences
src\services\endpoints.js	GET	/auth/support-contact
src\services\endpoints.js	PUT	/auth/complete-profile
src\services\endpoints.js	PUT	/auth/change-password
src\services\endpoints.js	PUT	/auth/profile
src\services\endpoints.js	PUT	/auth/change-email
src\services\endpoints.js	POST	/auth/change-email/request
src\services\endpoints.js	POST	/auth/change-email/confirm
src\services\endpoints.js	PUT	/auth/change-phone
src\services\endpoints.js	POST	/auth/forgot-password
src\services\endpoints.js	POST	/auth/reset-password
src\services\endpoints.js	POST	/auth/verify-otp
src\services\endpoints.js	GET	/auth/admin/search-customers
src\services\endpoints.js	GET	/auth/admin/search-staff
src\services\endpoints.js	GET	/auth/admin/customers
src\services\endpoints.js	POST	/auth/admin/create-customer
src\services\endpoints.js	POST	/auth/admin/customer/${id}/temp-password
src\services\endpoints.js	GET	/auth/admin/customer/${id}
src\services\endpoints.js	PUT	/auth/admin/customer/${id}
src\services\endpoints.js	GET	/auth/admin/admins
src\services\endpoints.js	PUT	/auth/admin/admins/${id}
src\services\endpoints.js	DELETE	/auth/admin/user/${id}
src\services\endpoints.js	POST	/auth/admin/bulk-ban
src\services\endpoints.js	POST	/auth/admin/bulk-unban
src\services\endpoints.js	POST	/auth/admin/bulk-delete
src\services\endpoints.js	POST	/auth/mfa/enroll
src\services\endpoints.js	POST	/auth/mfa/confirm
src\services\endpoints.js	POST	/auth/mfa/disable
src\services\endpoints.js	POST	/auth/verify-email
src\services\endpoints.js	POST	/auth/resend-verification
src\services\endpoints.js	DELETE	/auth/privacy/me
src\services\endpoints.js	GET	/auth/sessions
src\services\endpoints.js	DELETE	/auth/sessions/${id}
src\services\endpoints.js	POST	/auth/sessions/revoke-others
src\services\endpoints.js	GET	/auth/admin/sessions
src\services\endpoints.js	DELETE	/auth/admin/sessions/${id}
src\services\endpoints.js	DELETE	/auth/admin/users/${userId}/sessions
src\services\endpoints.js	GET	/auth/admin/audit-log
src\services\endpoints.js	POST	/auth/admin/admins/${id}/promote
src\services\endpoints.js	POST	/auth/admin/admins/${id}/demote
src\services\endpoints.js	GET	/auth/admin/super-admin/stats
src\services\endpoints.js	GET	/auth/authority/me
src\services\endpoints.js	GET	/auth/authority/grants
src\services\endpoints.js	GET	/auth/authority/grants/by-user/${userId}
src\services\endpoints.js	POST	/auth/authority/grants
src\services\endpoints.js	DELETE	/auth/authority/grants/${id}
src\services\endpoints.js	GET	/auth/authority/locks/lookup
src\services\endpoints.js	GET	/auth/authority/locks
src\services\endpoints.js	POST	/auth/authority/locks
src\services\endpoints.js	DELETE	/auth/authority/locks/${id}
src\services\endpoints.js	GET	/bookings/event-types
src\services\endpoints.js	GET	/bookings/add-ons
src\services\endpoints.js	GET	/bookings/event-categories
src\services\endpoints.js	GET	/bookings/addon-categories
src\services\endpoints.js	POST	/bookings
src\services\endpoints.js	GET	/bookings/${ref}
src\services\endpoints.js	GET	/bookings/my
src\services\endpoints.js	GET	/bookings/my/current
src\services\endpoints.js	GET	/bookings/my/past
src\services\endpoints.js	GET	/bookings/my/reviews/pending
src\services\endpoints.js	GET	/bookings/booked-slots
src\services\endpoints.js	POST	/bookings/${ref}/cancel
src\services\endpoints.js	POST	/bookings/${ref}/reschedule
src\services\endpoints.js	POST	/bookings/${ref}/transfers
src\services\endpoints.js	GET	/bookings/${ref}/transfers
src\services\endpoints.js	POST	/bookings/${ref}/transfers/${transferId}/revoke
src\services\endpoints.js	GET	/bookings/${ref}/timeline
src\services\endpoints.js	GET	/bookings/${ref}/invoice
src\services\endpoints.js	POST	/bookings/recurring
src\services\endpoints.js	GET	/bookings/recurring/${groupId}
src\services\endpoints.js	GET	/bookings/${ref}/reviews/customer
src\services\endpoints.js	POST	/bookings/${ref}/reviews/customer
src\services\endpoints.js	GET	/bookings/my-pricing
src\services\endpoints.js	GET	/bookings/slot-capacity
src\services\endpoints.js	POST	/bookings/waitlist
src\services\endpoints.js	DELETE	/bookings/waitlist/${entryId}
src\services\endpoints.js	GET	/bookings/waitlist/my
src\services\endpoints.js	GET	/bookings/binges
src\services\endpoints.js	GET	/bookings/binges/nearby
src\services\endpoints.js	GET	/bookings/binges/${id}
src\services\endpoints.js	GET	/bookings/binges/${id}/customer-dashboard
src\services\endpoints.js	GET	/bookings/binges/${id}/customer-about
src\services\endpoints.js	GET	/bookings/binges/${id}/reviews/summary
src\services\endpoints.js	GET	/bookings/binges/${id}/reviews
src\services\endpoints.js	GET	/bookings/binges/${bingeId}/cancellation-tiers
src\services\endpoints.js	GET	/bookings/venue-rooms
src\services\endpoints.js	GET	/bookings/venue-rooms/available
src\services\endpoints.js	GET	/bookings/venue-rooms/${roomId}/reviews/summary
src\services\endpoints.js	GET	/bookings/venue-rooms/${roomId}/reviews
src\services\endpoints.js	GET	/bookings/surge-rules
src\services\endpoints.js	GET	/bookings/surge/quote
src\services\endpoints.js	GET	/bookings/freezes/me
src\services\endpoints.js	GET	/bookings/freezes/me/binge/${bingeId}
src\services\endpoints.js	GET	/bookings/binges/${bingeId}/site-content/${slug}
src\services\endpoints.js	PUT	/bookings/admin/binges/${bingeId}/site-content/${slug}
src\services\endpoints.js	GET	/bookings/taxes/preview
src\services\endpoints.js	GET	/bookings/currencies
src\services\endpoints.js	POST	/bookings/slot-holds
src\services\endpoints.js	GET	/bookings/slot-holds/${token}
src\services\endpoints.js	DELETE	/bookings/slot-holds/${token}
src\services\endpoints.js	GET	/bookings/slot-holds/my
src\services\endpoints.js	GET	/bookings/slot-holds/admin
src\services\endpoints.js	DELETE	/bookings/slot-holds/admin/${token}
src\services\endpoints.js	GET	/bookings/admin/taxes
src\services\endpoints.js	POST	/bookings/admin/taxes
src\services\endpoints.js	PUT	/bookings/admin/taxes/${id}
src\services\endpoints.js	DELETE	/bookings/admin/taxes/${id}
src\services\endpoints.js	GET	/bookings/admin/taxes/global
src\services\endpoints.js	POST	/bookings/admin/taxes/global
src\services\endpoints.js	GET	/bookings/taxes/preview
src\services\endpoints.js	GET	/bookings/currencies
src\services\endpoints.js	GET	/bookings/admin/currencies
src\services\endpoints.js	POST	/bookings/admin/currencies
src\services\endpoints.js	POST	/bookings/admin/currencies/${code}/toggle
src\services\endpoints.js	DELETE	/bookings/admin/currencies/${code}
src\services\endpoints.js	POST	/bookings/admin/currencies/refresh
src\services\endpoints.js	GET	/notifications/my
src\services\endpoints.js	GET	/notifications/booking/${ref}
