type	name	version
runtime	@sentry/react	^9.15.0
runtime	@testing-library/dom	^10.4.1
runtime	axios	^1.8.4
runtime	country-state-city	^3.2.1
runtime	date-fns	^3.6.0
runtime	dompurify	^3.3.3
runtime	i18next	^25.1.2
runtime	react	^18.3.1
runtime	react-datepicker	^6.9.0
runtime	react-dom	^18.3.1
runtime	react-helmet-async	^3.0.0
runtime	react-i18next	^15.5.1
runtime	react-icons	^5.2.1
runtime	react-phone-number-input	^3.4.16
runtime	react-router-dom	^6.23.1
runtime	react-toastify	^10.0.5
runtime	zustand	^5.0.12
dev	@playwright/test	^1.59.1
dev	@sentry/vite-plugin	^5.2.0
dev	@testing-library/jest-dom	^6.9.1
dev	@testing-library/react	^16.3.2
dev	@testing-library/user-event	^14.6.1
dev	@types/react	^18.3.28
dev	@types/react-dom	^18.3.7
dev	@vitejs/plugin-react	^4.3.0
dev	jsdom	^29.0.1
dev	typescript	^5.9.3
dev	vite	^5.3.1
dev	vite-plugin-pwa	^1.2.0
dev	vitest	^4.1.2
