path	element	guard
/	<Home />	none
/login	<PublicOnlyRoute><Login /></PublicOnlyRoute>	none
/register	<PublicOnlyRoute><Register /></PublicOnlyRoute>	none
/forgot-password	<PublicOnlyRoute><ForgotPassword /></PublicOnlyRoute>	none
/reset-password	<PublicOnlyRoute><ResetPassword /></PublicOnlyRoute>	none
/verify-email	<VerifyEmail />	none
/terms	<Terms />	none
/transfers/:token	<TransferAccept />	none
/complete-profile	<CompleteProfileRoute><CompleteProfile /></CompleteProfileRoute>	none
/platform	<ProtectedRoute><PlatformDashboard /></ProtectedRoute>	ProtectedRoute
/binges	<ProtectedRoute><BingeSelector /></ProtectedRoute>	ProtectedRoute
/dashboard	<BingeRequired><Dashboard /></BingeRequired>	BingeRequired
/book	<BingeRequired><BookingPage /></BingeRequired>	BingeRequired
/booking/:ref	<BingeRequired><BookingConfirmation /></BingeRequired>	BingeRequired
/my-bookings	<BingeRequired><MyBookings /></BingeRequired>	BingeRequired
/membership	<ProtectedRoute><Membership /></ProtectedRoute>	ProtectedRoute
/payments	<BingeRequired><CustomerPayments /></BingeRequired>	BingeRequired
/about	<BingeRequired><AboutBinge /></BingeRequired>	BingeRequired
/account	<ProtectedRoute><AccountCenter /></ProtectedRoute>	ProtectedRoute
/account/notifications	<ProtectedRoute><CustomerNotifications /></ProtectedRoute>	ProtectedRoute
/messages	<ProtectedRoute><CustomerMessages /></ProtectedRoute>	ProtectedRoute
/account/sessions	<ProtectedRoute><MySessions /></ProtectedRoute>	ProtectedRoute
/settings	<ProtectedRoute><CustomerSettings /></ProtectedRoute>	ProtectedRoute
/account/security/mfa	<ProtectedRoute><MfaSetup /></ProtectedRoute>	ProtectedRoute
/help/:topic	<ProtectedRoute><HelpCenter /></ProtectedRoute>	ProtectedRoute
/payment/:ref	<BingeRequired><PaymentPage /></BingeRequired>	BingeRequired
/admin/login	<PublicOnlyRoute><AdminLogin /></PublicOnlyRoute>	none
/admin/register	<SuperAdminRoute scope="ADMIN_REGISTER"><AdminRegister /></SuperAdminRoute>	SuperAdminRoute
/admin/platform	<AdminRoute><AdminEntranceDashboard /></AdminRoute>	AdminRoute
/admin/messages	<AdminRoute><AdminMessages /></AdminRoute>	AdminRoute
/admin/account	<AdminRoute><AdminAccount /></AdminRoute>	AdminRoute
/admin/all-users	<SuperAdminRoute scope="ALL_USERS"><AdminAllUsers /></SuperAdminRoute>	SuperAdminRoute
/admin/customers/:id/edit	<SuperAdminRoute scope="CUSTOMER_EDIT"><AdminCustomerEdit /></SuperAdminRoute>	SuperAdminRoute
/admin/super	<SuperAdminRoute scope="SUPER_DASHBOARD"><SuperAdminDashboard /></SuperAdminRout	SuperAdminRoute
/admin/super/authority	<SuperAdminRoute><AuthorityHandover /></SuperAdminRoute>	SuperAdminRoute
/admin/home-editor	<SuperAdminRoute scope="HOME_CMS"><AdminHomeEditor /></SuperAdminRoute>	SuperAdminRoute
/admin/terms-editor	<SuperAdminRoute scope="HOME_CMS"><AdminTermsEditor /></SuperAdminRoute>	SuperAdminRoute
/admin/sessions	<AdminRoute><MySessions /></AdminRoute>	AdminRoute
/admin/security/mfa	<AdminRoute><MfaSetup /></AdminRoute>	AdminRoute
/admin/binges	<AdminRoute><BingeManagement /></AdminRoute>	AdminRoute
